dataset,fname,label,sublabel
a,set_a/201012172012.wav,artifact,
a,set_a/201105040918.wav,artifact,
a,set_a/201105041959.wav,artifact,
a,set_a/201105051017.wav,artifact,
a,set_a/201105060108.wav,artifact,
a,set_a/201105061143.wav,artifact,
a,set_a/201105190800.wav,artifact,
a,set_a/201105280851.wav,artifact,
a,set_a/201106010559.wav,artifact,
a,set_a/201106010602.wav,artifact,
a,set_a/201106021541.wav,artifact,
a,set_a/201106030612.wav,artifact,
a,set_a/201106031558.wav,artifact,
a,set_a/201106040722.wav,artifact,
a,set_a/201106040933.wav,artifact,
a,set_a/201106040947.wav,artifact,
a,set_a/201106041452.wav,artifact,
a,set_a/201106050353.wav,artifact,
a,set_a/201106061233.wav,artifact,
a,set_a/201106070537.wav,artifact,
a,set_a/201106070949.wav,artifact,
a,set_a/201106101314.wav,artifact,
a,set_a/201106101955.wav,artifact,
a,set_a/201106110909.wav,artifact,
a,set_a/201106111119.wav,artifact,
a,set_a/201106121242.wav,artifact,
a,set_a/201106121445.wav,artifact,
a,set_a/201106131834.wav,artifact,
a,set_a/201106131835.wav,artifact,
a,set_a/201106141701.wav,artifact,
a,set_a/201106161016.wav,artifact,
a,set_a/201106161019.wav,artifact,
a,set_a/201106161219.wav,artifact,
a,set_a/201106171003.wav,artifact,
a,set_a/201106190520.wav,artifact,
a,set_a/201106211041.wav,artifact,
a,set_a/201106211430.wav,artifact,
a,set_a/201106212112.wav,artifact,
a,set_a/201106220340.wav,artifact,
a,set_a/201106221254.wav,artifact,
a,set_a/201101070953.wav,extrahls,
a,set_a/201101091153.wav,extrahls,
a,set_a/201101152255.wav,extrahls,
a,set_a/201101160804.wav,extrahls,
a,set_a/201101160808.wav,extrahls,
a,set_a/201101161027.wav,extrahls,
a,set_a/201101241423.wav,extrahls,
a,set_a/201101241433.wav,extrahls,
a,set_a/201102070251.wav,extrahls,
a,set_a/201102071835.wav,extrahls,
a,set_a/201102241217.wav,extrahls,
a,set_a/201103150114.wav,extrahls,
a,set_a/201103170134.wav,extrahls,
a,set_a/201103182227.wav,extrahls,
a,set_a/201103200218.wav,extrahls,
a,set_a/201104021355.wav,extrahls,
a,set_a/201104140118.wav,extrahls,
a,set_a/201104270458.wav,extrahls,
a,set_a/201104270459.wav,extrahls,
a,set_a/201101051104.wav,murmur,
a,set_a/201101051108.wav,murmur,
a,set_a/201101051114.wav,murmur,
a,set_a/201101180902.wav,murmur,
a,set_a/201102051443.wav,murmur,
a,set_a/201102052338.wav,murmur,
a,set_a/201103291548.wav,murmur,
a,set_a/201104021355.wav,murmur,
a,set_a/201104241315.wav,murmur,
a,set_a/201104291843.wav,murmur,
a,set_a/201106141148.wav,murmur,
a,set_a/201108222221.wav,murmur,
a,set_a/201108222223.wav,murmur,
a,set_a/201108222224.wav,murmur,
a,set_a/201108222226.wav,murmur,
a,set_a/201108222227.wav,murmur,
a,set_a/201108222231.wav,murmur,
a,set_a/201108222232.wav,murmur,
a,set_a/201108222233.wav,murmur,
a,set_a/201108222235.wav,murmur,
a,set_a/201108222236.wav,murmur,
a,set_a/201108222237.wav,murmur,
a,set_a/201108222238.wav,murmur,
a,set_a/201108222242.wav,murmur,
a,set_a/201108222243.wav,murmur,
a,set_a/201108222245.wav,murmur,
a,set_a/201108222246.wav,murmur,
a,set_a/201108222248.wav,murmur,
a,set_a/201108222251.wav,murmur,
a,set_a/201108222252.wav,murmur,
a,set_a/201108222253.wav,murmur,
a,set_a/201108222255.wav,murmur,
a,set_a/201108222256.wav,murmur,
a,set_a/201108222258.wav,murmur,
a,set_a/201101070538.wav,normal,
a,set_a/201101151127.wav,normal,
a,set_a/201102081152.wav,normal,
a,set_a/201102081321.wav,normal,
a,set_a/201102201230.wav,normal,
